Criminal,Crime
BillingsleyTerry,Victim
BowersSandra,Victim
CassonCarleton,Victim
BowersSandra,Witness
CarverJustin,Witness
CaseyRobin,Victim
BowlesDiana,Witness
BoydKatie,Witness
BoyleAlice,Victim Suspect
CavanaughCelia,Victim Suspect
BoyleOwen,Suspect
BradleyBill,Victim
ChambersGina,Victim
BoyleAlice,Witness
BrassManuel,Suspect
ChampionWes,Victim
BrillEzekial,Victim
ChandlerMonica,Victim
ChandlerSusie,Victim
BrillPhilip,Victim
BrinkleyDerrick,Witness
ChanningBoris,Witness
BrownDimitri,Suspect
ChanningCarter,Suspect
BrownGladys,Victim
CharlesShelley,Victim
CheathamBarry,Victim
CheathamMaurice,Victim
ChildersBennett,Suspect
BendixMichelle,Suspect
ClaggartMary,Victim
CliffordJim,Victim
CobbJanet,Victim
ColeArlene,Victim
ColeHarry,Victim
CollinsAdrienne,Victim
CollinsMartha,Victim
ColeArlene,Suspect
CollinsRuben,Suspect
BryantMarcia,Suspect
BuffetteRachel,Victim
ColtraneCharles,Victim
ComptonDennis,Suspect
BuffetteRachel,Witness
ComptonJack,Suspect
BulwerJames,Victim
BurnleyAaron,Suspect
ConklinShelley,Suspect
ConorArthur,Suspect
ConrackCarol,Suspect
ConwaySamantha,Suspect
CooperAndrew,Suspect
CooperJeremiah,Suspect
CoreyAlonzo,Suspect
CorleyDanette,Suspect
CortezRamiro,Suspect
BurnsDarian,Witness
BowersCarl,Witness
CottonBert,Suspect
BurnsMoira,Victim
CottonJo,Victim
BuschAndrew,Victim
CourtBrendan,Victim
CourtBrendan,Suspect
CourtlandGreg,Suspect
CourtlandTeresa,Suspect
ByrneKevin,Victim
BergerRod,Victim
CallieSharon,Witness
CoxJaimie,Witness
CoxNathan,Suspect
CandyCarol,Victim
CraigRoger,Victim
CramerNancy,Suspect
CanelliTony,Victim
CrandallNed,Victim
CanfieldAristides,Victim Suspect
CrawfordJim,Victim Suspect
CullomRandall,Victim
CullomRita,Victim
CulpepperIris,Victim
CulpepperWarren,Victim
CantwellFelecia,Witness
CurtisGlenda,Victim
CantwellSylvester,Suspect
CullomRandall,Suspect
CantwellSylvester,Victim Suspect
CurtisMyles,Victim Suspect
CusackJill,Suspect
CutlerJeremy,Suspect
CarlMax,Suspect
DaleMike,Victim
CarletonBonnie,Suspect
CraigRoger,Suspect
DalyCarl,Victim
DalyCelia,Victim
CottonBert,Victim
CarlsonJames,Witness
DalyTim,Witness
CarlsonSylvester,Witness
CaronMolly,Suspect
DanielsJohn,Suspect
CarpenterLonnie,Witness
DanielsRandy,Witness
CarrVirginia,Suspect
DanversRandy,Suspect
CarrollMegan,Witness
DavisAaron,Witness
Ball Lester,Victim
DeaconHubert,Suspect
DeauvilleJean,Suspect
CarterRuby,Witness
CarlMax,Witness
CarusoMario,Victim
DeckerLyle,Victim
CarverJason,Suspect
ChambersGina,Suspect
CarverJustin,Suspect
DeeBetty,Suspect
DeHavillandBurt,Suspect
DelaneyCarlotta,Suspect
DelaneyLaura,Suspect
DelaneyRoberta,Suspect
DemarcoWillie,Suspect
CaseyConor,Suspect
DerbyNeil,Suspect
CaseyRobin,Witness
DerbyTammy,Witness
CasperSheila,Victim
CoxJaimie,Victim
CavanaughCelia,Suspect
DicksonCarter,Victim
ChampionWes,Witness
DicksonCatherine,Witness
ChandlerMonica,Witness
DimmittRay,Victim
DinglePhilip,Victim
DoranEllie,Victim
CusackJill,Victim
ChandlerSusie,Witness
CutlerJeremy,Witness
ChanningBoris,Victim
DoranLatonya,Victim
DanversRandy,Victim
CheathamBarry,Suspect
DouglasCollin,Suspect
DrakeBurton,Victim
CheathamBarry,Victim Suspect
DukeAmelia,Victim Suspect
CheathamBarry,Witness
DukeMarshall,Witness
DunbarOwen,Victim
CheathamMaurice,Witness
DanversRandy,Witness
ChildersBennett,Victim
DuncanOrrin,Victim
ClaggartMary,Witness
CliffordJim,Witness
BordersDylan,Witness
DuncanScott,Victim
ColeArlene,Witness
BryantMarcia,Witness
ColeHarry,Suspect
DwyerBart,Victim
CollinsAdrienne,Witness
CollinsMartha,Suspect
DysonBert,Suspect
CollinsRuben,Victim
EaganLowell,Victim
ColtraneCharles,Suspect
BrinkleyDerrick,Suspect
EarlChanda,Suspect
ComptonJack,Victim
EasterlyAlan,Victim
EasterlyTyrone,Suspect
DimmittRay,Suspect
DinglePhilip,Suspect
ConorArthur,Victim
EbersolShirley,Victim
EdgarMillicent,Victim
ConrackCarol,Victim Suspect
CoreyAlonzo,Victim Suspect
EdmondsHilda,Victim Suspect
CorleyDanette,Victim
EdwardsKim,Suspect
DelaneyLaura,Victim
EdwardsSeamus,Victim
CourtBrendan,Witness
DelaneyRoberta,Victim
ElderKerry,Suspect
ElliottRed,Victim
EllisSedge,Suspect
CramerNancy,Victim
ErckerBenton,Victim
EvansJay,Victim
FagenTiffany,Victim
FarmerRicky,Victim
CrandallNed,Suspect
CrawfordJim,Suspect
FarthingRachel,Suspect
FaulkDavid,Victim
FaulkSteve,Victim
CurtisGlenda,Witness
FaustMeg,Witness
CurtisMyles,Suspect
FeeneyBuzz,Victim
FensterOscar,Victim
DaleMike,Suspect
FergusJoe,Suspect
DalyCarl,Suspect
CarsonBarbi,Suspect
FieldsJohn,Victim
DalyTim,Suspect
FieldsWalter,Suspect
DanielsJohn,Witness
BridgesHilda,Witness
DanielsRandy,Suspect
DoranLatonya,Suspect
FilmoreDean,Victim
DavisAaron,Victim
FindlayGary,Suspect
DeauvilleJean,Witness
DoranLatonya,Witness
DeckerLyle,Witness
DeHavillandBurt,Witness
FishburnKerry,Witness
DelaneyCarlotta,Victim
FitzDanny,Victim
FlandersColeman,Suspect
FletcherTom,Victim
FlowersSteve,Suspect
DelaneyCarlotta,Witness
FordEric,Witness
FordJimmie,Suspect
FlandersColeman,Victim
FordJimmie,Victim
FordEric,Victim
ForesterCarol,Suspect
FoxGillian,Suspect
DerbyTammy,Victim
FoxGillian,Victim
DerbyTammy,Victim Suspect
FraleyLee,Victim Suspect
ButlerKay,Victim
DicksonCarter,Suspect
FranklinRegina,Suspect
FranklinSid,Suspect
FrasierCalvin,Suspect
FrederichMax,Victim
FreemanIsaac,Suspect
FremontLinda,Suspect
FrostAlice,Suspect
FurstJosh,Victim
GarnerMickey,Suspect
GarnerStella,Suspect
GarveyClive,Suspect
GellarLindsay,Suspect
GeorgeBuster,Suspect
GeraldDidi,Suspect
GibbonsToby,Suspect
GibbsJulie,Suspect
DicksonCatherine,Victim
GibsonShirley,Victim
BlodgettFaith,Victim
GibsonTed,Victim
GideonMario,Victim
GilliganErin,Suspect
DoranEllie,Witness
AveryPhil,Suspect
GilliganRandy,Victim
DouglasCollin,Victim
GillisJohnson,Victim
DrakeBurton,Suspect
GivensSherry,Suspect
DukeAmelia,Suspect
GlassRonnie,Suspect
GleesonMatt,Witness
DunbarOwen,Suspect
DuncanOrrin,Witness
GliddenDiana,Witness
DuncanScott,Witness
BurnsDarian,Victim
DysonBert,Victim
EarlChanda,Victim
GliddenHoppy,Victim
GliddenMarcia,Victim
GliddenStan,Suspect
GodfreyBrian,Victim
EdmondsHilda,Suspect
GodfreyJudy,Suspect
EdwardsKim,Victim
GodfreyRhonda,Victim
GodfreyTalia,Victim
GoodingTerrell,Suspect
EdwardsKim,Witness
GeorgeBuster,Witness
ConklinShelley,Victim
GootschalkGinny,Victim
ElderKerry,Victim
ElliottRed,Suspect
GorhamBilly,Suspect
GorhamStella,Suspect
GormleyAndy,Suspect
ErckerBenton,Suspect
GradyAlice,Suspect
EvansJay,Victim Suspect
GradyCarla,Victim Suspect
DalyTim,Victim
GradyHector,Victim
FarmerRicky,Suspect
FarthingRachel,Victim
FaulkDavid,Suspect
FaulkSteve,Suspect
GradyRufus,Suspect
GradySheryl,Suspect
FraleyLee,Witness
FeeneyBuzz,Suspect
CarrollMegan,Suspect
FensterOscar,Suspect
GraftonDon,Suspect
FieldsJohn,Suspect
GrantHarry,Suspect
FieldsWalter,Victim
GrantJohn,Victim
FilmoreDean,Suspect
FindlayGary,Victim Suspect
GrantKaren,Victim Suspect
FishburnKerry,Suspect
FitzDanny,Suspect
GreenByron,Suspect
FletcherTom,Suspect
GreenDora,Suspect
FlowersSteve,Witness
GreenMason,Witness
GreenWilliam,Witness
GreenleafMaggie,Victim
FordJimmie,Witness
GregoryBrant,Witness
ForesterCarol,Victim Suspect
ForesterCarol,Witness
EdgarMillicent,Witness
FoxGillian,Witness
GrenwayDouglas,Witness
FranklinRegina,Witness
BartonGermal,Witness
FranklinSid,Witness
GreyCortez,Witness
FrasierCalvin,Witness
FrederichMax,Witness
FreemanIsaac,Witness
FremontLinda,Victim
GreyMinnie,Victim
GleesonMatt,Victim
GriggsOmar,Victim
GummJean,Victim
GummZelda,Victim
GunnersonInga,Victim
FremontLinda,Witness
FurstJosh,Suspect
GunnersonLyndon,Suspect
GarveyClive,Victim
GellarLindsay,Victim
GunnersonPaul,Victim
BrillPhilip,Witness
GeorgeBuster,Victim
DukeMarshall,Victim
GuntherMatt,Victim
GibsonTed,Suspect
GideonMario,Witness
GilliganErin,Victim
HallDavid,Victim
HallLiz,Victim
HallNancy,Suspect
GilliganErin,Witness
HallNorman,Suspect
GilliganRandy,Suspect
HalseyWalter,Suspect
HamiltonCraig,Victim
GivensSherry,Witness
EvansJay,Witness
GivensSherry,Victim
FergusJoe,Victim
GlassRonnie,Victim
ConrackCarol,Victim
GleesonMatt,Victim Suspect
HamiltonJared,Victim Suspect
GliddenDiana,Victim Suspect
GliddenDiana,Victim
GliddenHoppy,Witness
HamiltonJared,Witness
GliddenMarcia,Suspect
GodfreyJudy,Victim
GodfreyRhonda,Witness
GradySheryl,Victim
HamiltonTerrance,Victim
GodfreyTalia,Suspect
GoodingTerrell,Victim
GradyRufus,Victim
GoodingTerrell,Witness
GootschalkGinny,Suspect
GorhamBilly,Witness
CortezRamiro,Witness
HarriganDustin,Suspect
GradyAlice,Victim
HarriganKieran,Victim
GradyCarla,Suspect
GradyHector,Witness
HarrisonAnnie,Witness
GradyRufus,Victim Suspect
CollinsRuben,Victim Suspect
HarrisonRobert,Victim
HarriganDustin,Victim
HartJared,Suspect
GraftonDon,Witness
HarteNicki,Witness
GrantHarry,Victim
GrantJohn,Witness
DemarcoWillie,Witness
GrantKaren,Victim
GreenDora,Victim
GreenMason,Victim
GreenWilliam,Suspect
GreenleafMaggie,Suspect
HastingsLynette,Suspect
GregoryBrant,Suspect
GrenwayDouglas,Suspect
HawkeWillie,Suspect
GreyCortez,Suspect
ForesterCarol,Victim
BevinsJoe,Victim
GummJean,Suspect
EvansJay,Suspect
GummZelda,Witness
GunnersonInga,Suspect
GunnersonInga,Witness
GunnersonLyndon,Witness
HawkinsDavid,Victim
GunnersonPaul,Witness
HayesElla,Witness
GunnersonPaul,Suspect
HayesIris,Witness
GuntherMatt,Victim Suspect
GuntherMatt,Witness
HallDavid,Suspect
HeathMark,Victim
GreenWilliam,Victim
HeinzGladys,Victim
HemphillBud,Victim
HemphillButch,Victim
HallLiz,Witness
HallLiz,Suspect
HendersonGary,Suspect
AbramsDon,Victim
HallNancy,Victim
HallNorman,Witness
HamiltonCraig,Suspect
HamiltonJared,Suspect
HendersonSam,Suspect
HendersonWillie,Victim
HenleyDmitri,Suspect
HarriganDustin,Witness
HenleyThaddeus,Victim
HarriganKieran,Suspect
HenryIsaac,Suspect
GraftonDon,Victim
HenryJoseph,Victim
HerbertJason,Victim
HarrisonAnnie,Victim
HerbertSean,Victim
HeronJason,Victim
HarrisonAnnie,Suspect
HewittCarl,Suspect
HarrisonRobert,Suspect
HartJared,Victim
BernardoBill,Witness
GideonMario,Suspect
HawkeWillie,Witness
HillJim,Witness
HiltonChris,Victim
HiltonMichael,Victim
HayesElla,Victim
HilyardWinston,Victim
HayesElla,Suspect
HoldenEric,Suspect
HayesIris,Suspect
HolleyBuster,Suspect
HolmesMort,Victim
HeathMark,Suspect
HoltEddie,Suspect
HeinzGladys,Suspect
ClaggartMary,Suspect
HemphillBud,Witness
HemphillBud,Suspect
HoltJuanita,Suspect
AlleynDylan,Suspect
HooperFrieda,Suspect
HopkinsBurton,Suspect
HopkinsJody,Suspect
FlowersSteve,Victim
HopkinsSylvia,Victim
HendersonGary,Witness
HendersonWillie,Witness
HenleyThaddeus,Suspect
HenleyThaddeus,Witness
GreenByron,Victim
HenryIsaac,Victim
HoweMadelaine,Suspect
HerbertJason,Suspect
HowePhilip,Suspect
HerbertSean,Suspect
HewittCarl,Victim
HillJim,Suspect
DeckerLyle,Suspect
HiltonChris,Suspect
HoweRuth,Suspect
HumphreyAlex,Victim
HiltonMichael,Suspect
HumphreyCurtis,Suspect
HumphreyJack,Suspect
HurstLenny,Suspect
AveryTerry,Suspect
HoltEddie,Witness
BensonAndrew,Witness
HoltJuanita,Witness
HooperFrieda,Victim
HopkinsBurton,Victim
IbrahimIsaac,Victim
HopkinsJody,Victim
IlerWilliam,Victim
InvernessBen,Victim
IrelandJacob,Victim
IvieByron,Victim
HopkinsSylvia,Suspect
IvieCaldwell,Suspect
InvernessBen,Suspect
IrelandJacob,Suspect
HoweRuth,Victim
HoweRuth,Witness
HumphreyAlex,Suspect
HilyardWinston,Suspect
HurstLenny,Victim
IvyRenata,Victim
IbrahimIsaac,Witness
IlerWilliam,Suspect
JacksonBrendan,Suspect
InvernessBen,Witness
JamesMarla,Victim
JamesRicardo,Victim
IvieCaldwell,Victim
JamesRussell,Victim
JamesSara,Victim
JamiesonLilly,Suspect
JayRayquan,Suspect
JacksonBrendan,Witness
JamesMarla,Suspect
JeffersonAlbert,Suspect
JamesRicardo,Suspect
JamesSara,Witness
JeffersonArnold,Victim
JamiesonLilly,Witness
JeffersonBarbi,Suspect
JeffersonMillie,Suspect
JeffersonPolly,Victim
JeffersonTara,Victim
JeffersonArnold,Suspect
BenderDarryl,Victim
JenkinsJill,Victim
JeffersonBarbi,Victim
JenkinsViolet,Victim
JohnsonDennis,Victim
JeffersonMillie,Victim Suspect
JeffersonMillie,Victim
BynumWilbur,Victim
JenkinsJill,Suspect
JohnsonJack,Victim
HillJim,Victim
FrasierCalvin,Victim
JenkinsViolet,Suspect
JohnstonJustin,Suspect
JonesEzekial,Victim
JonesHarris,Victim
JohnsonDennis,Suspect
JordanPeter,Suspect
JohnsonJack,Suspect
JosephReggie,Suspect
JuddJulius,Suspect
JuddRoger,Suspect
JulesCarter,Victim
HalseyWalter,Victim
KaneNathan,Victim
HastingsLynette,Victim
KarstenBonnie,Victim
JonesHarris,Suspect
JeffersonPolly,Suspect
JeffersonTara,Suspect
JosephReggie,Victim
JuddJulius,Witness
BlackRuth,Witness
CoxJaimie,Suspect
JuddRoger,Witness
KarstenLinda,Victim
JulesCarter,Suspect
KarstenMae,Suspect
KaneNathan,Witness
KatzLuella,Witness
KarstenBonnie,Witness
KarstenLinda,Witness
BlodgettFaith,Suspect
KarstenMae,Witness
KatzLuella,Suspect
KatzLuella,Victim
KeaneArthur,Victim
KeatonKelly,Suspect
KellyGretchen,Suspect
KendrickJonathan,Suspect
BendixSharon,Suspect
KendricksMarie,Suspect
BrandTom,Suspect
EaganLowell,Suspect
KennardVernon,Victim
KenneyMarcus,Suspect
GrantJohn,Suspect
KeaneArthur,Suspect
KeatonKelly,Victim
KentonMelba,Suspect
KetterPercy,Suspect
KeysLinda,Suspect
KenneyMarcus,Witness
AveryTerry,Witness
KetterPercy,Victim Suspect
KillianGeorge,Victim Suspect
KeysLinda,Victim
KillianMarcus,Victim
BarkerCatherine,Victim
KillianGeorge,Suspect
KillianMarcus,Witness
JeffersonBarbi,Witness
KillianMarcus,Suspect
KillianMary,Victim
KingMalcolm,Victim
KingMalcolm,Witness
KingMalcolm,Suspect
KingstonRyan,Victim
CortezRamiro,Victim
KinnardJeff,Victim
KentonMelba,Victim
CourtlandGreg,Victim
KinneyDiane,Victim
KiplingRobert,Witness
KiplingerLisa,Suspect
KirbyGabrielle,Suspect
KirbyLaverne,Suspect
KirbyMonica,Suspect
KirklandNiles,Victim Suspect
KirklandOwen,Suspect
KirklandOwen,Victim
KirklandRudy,Victim Suspect
KingMalcolm,Victim Suspect
LaddClarence,Suspect
LakinQuincy,Victim
LaneBecky,Suspect
KinneyDiane,Suspect
LangdonAndrew,Suspect
LangdonAndrew,Victim Suspect
IlerWilliam,Victim Suspect
LangdonCharles,Suspect
LangdonDerrick,Victim
LansburyRobert,Suspect
LaramoreErin,Suspect
KiplingRobert,Suspect
LashlyHerb,Suspect
LaurencePete,Suspect
LawrenceAmos,Suspect
LawrenceRobbie,Victim
LeahyCelia,Victim
LeahyDonal,Victim
LeahyMick,Witness
FarthingRachel,Witness
LeeCrystal,Victim Suspect
LeeCrystal,Victim
GormleyAndy,Victim
LeeTwon,Suspect
LeighCrystal,Suspect
LinkMable,Witness
LiptonPaul,Suspect
FagenTiffany,Suspect
LiptonPaul,Victim
BarronPhoebe,Victim
LittleJake,Suspect
LittleJessie,Suspect
LittleJessie,Victim
KiplingerLisa,Victim
KirbyGabrielle,Victim
LivingstonMary,Victim
LockePamela,Suspect
LockePamela,Victim
KirklandNiles,Suspect
KirklandRudy,Victim
DerbyTammy,Suspect
LoftonJames,Suspect
LondonBaxter,Suspect
LondonRay,Victim
LongDanny,Suspect
EdwardsSeamus,Suspect
LordsWayne,Suspect
LoweBrian,Suspect
LowellConrad,Suspect
LowellConrad,Victim
FishburnKerry,Victim
LucasCalvin,Victim
MaddenEric,Suspect
MaddoxThelma,Victim
MadisonDennis,Suspect
LakinQuincy,Suspect
MadisonSonny,Suspect
MageeGinny,Victim
MaguireRaymond,Suspect
MailerLucas,Witness
CramerNancy,Witness
MailerMary,Victim
LaneBecky,Victim
KenneyMarcus,Victim
MajorsLeslie,Victim
LaddClarence,Victim
ManchesterElla,Suspect
ManchesterMark,Victim
MandanGrant,Suspect
ManheimMiller,Suspect
MansonCortez,Suspect
MarcusBradley,Suspect
MarcusBradley,Victim
LangdonDerrick,Suspect
MarionJoe,Witness
MarkessQueenie,Victim
MarksLynette,Victim
LansburyRobert,Victim
MarshakDarrell,Victim
LaramoreErin,Victim
MarshakRuby,Victim
LashlyHerb,Victim
MarshakRuby,Suspect
LawrenceAmos,Victim
MarshakWayne,Victim
MartinAlan,Victim
BurnleyAaron,Victim
MartinGeorge,Suspect
MartinJerry,Witness
MartinezAngel,Victim
MasonAmanda,Victim
HoweMadelaine,Victim
MasonWillis,Victim
HenleyDmitri,Victim
MastersHelen,Suspect
MastersTom,Victim
BowlesDiana,Victim
MayCharlie,Victim
McCainMike,Suspect
LeahyDonal,Suspect
LeahyMick,Suspect
McCannEddie,Victim
LeeTwon,Victim
LeighCrystal,Victim
McCannEddie,Suspect
LinkMable,Suspect
McCannEddie,Witness
McConnellPhyllis,Victim
LittleJake,Victim
McConnellPhyllis,Suspect
McLeodMatt,Suspect
MenardJack,Victim
MerrickCarter,Victim
MichaelsHector,Witness
HenleyDmitri,Witness
MichaelsLisa,Suspect
MilburnJohn,Suspect
LivingstonMary,Suspect
MillerBradford,Victim
MillerJeff,Witness
MillerMilo,Victim
LinkMable,Victim
MillerTommy,Suspect
MillerWynton,Witness
Miller Reuben,Suspect
MinionMaggie,Suspect
MintonCorey,Victim
MitchellGabrielle,Witness
KinneyDiane,Witness
MitchellGrant,Victim Suspect
LockePamela,Victim Suspect
MitchellGrant,Suspect
CullomRita,Suspect
CulpepperIris,Suspect
MitchellGrant,Victim
JamiesonLilly,Victim
JayRayquan,Victim
CulpepperWarren,Suspect
MitchellGrant,Witness
CurtisGlenda,Suspect
LondonBaxter,Victim
MitchellLisa,Victim
MitchellLisa,Suspect
MobleyLyle,Victim Suspect
MobleyLyle,Suspect
MobleyLyle,Victim
LordsWayne,Victim
HendersonWillie,Suspect
MobleyJr.Lester,Victim
LoweBrian,Victim
MobleySr.Lester,Witness
LowellConrad,Witness
MontgomeryDylan,Suspect
MontgomeryDylan,Victim
BartonGermal,Victim
MooreTerry,Suspect
MorganDon,Victim
MorisseyGavin,Suspect
MorlandKate,Suspect
MorrisEvan,Victim
MosleyWillard,Suspect
MossEd,Suspect
MaddoxThelma,Suspect
MossEd,Victim
MadisonDennis,Victim
MossSophie,Suspect
MoweElwood,Suspect
MuldoonAlex,Suspect
MuldoonJoe,Witness
MullinsMarv,Victim
MadisonSonny,Victim
MunsonKaty,Victim
MunsonKaty,Suspect
BecketAlice,Suspect
KillianGeorge,Victim
MyersRandy,Victim
BoydKatie,Victim
MyersRicky,Suspect
NaderChip,Victim
NanceBenny,Suspect
NeelyBrian,Suspect
NeelyColin,Suspect
IvieByron,Suspect
NelsonFelix,Victim
NelsonJenny,Victim
ArthurDean,Victim
NelsonMamie,Victim
NielsonColleen,Victim
NoblesCary,Victim Suspect
NorrisClayton,Victim
MaguireRaymond,Victim
MailerLucas,Victim
NorthTess,Victim
O'BrienAntoine,Witness
O'BrienAntoine,Suspect
O'BrienJeff,Suspect
O'MalleyBilly,Victim
FranklinRegina,Victim
O'MalleyConor,Suspect
OneilLinda,Victim
OneilLinda,Suspect
IvyRenata,Suspect
OwensAndrew,Victim
BaconFrancis,Victim
PakulaNan,Victim
PalmerKristy,Suspect
BarkerQuincy,Suspect
PalmerTitus,Victim
ParkerByron,Victim
LaurencePete,Victim
ParkerByron,Witness
LawrenceAmos,Witness
ParkerByron,Suspect
MajorsLeslie,Suspect
ManchesterElla,Victim
BryantCarol,Victim
ParkerSam,Suspect
KinnardJeff,Suspect
ParkerSebastian,Suspect
PattersonJohn,Victim
PaulKenneth,Witness
PaulsonBrenda,Suspect
PaulsonBrenda,Victim
KiplingRobert,Victim
PaulsonBrenda,Witness
LeeTwon,Witness
PaulsonLee,Victim
PaulsonRichard,Suspect
PayneJulie,Witness
PennPoindexter,Suspect
ManchesterMark,Suspect
PepinLorraine,Witness
PerkinsGeorge,Victim
MandanGrant,Victim
PerkinsNathan,Victim
PerkinsNathan,Suspect
PerkinsScott,Victim
EllisSedge,Victim
PerryFrank,Witness
